school_year,grain,state,metric,expected_entities,valid_entities,pct_entities_valid,expected_enrollment,valid_enrollment,pct_enrollment_valid,coverage_tier
2015-2016,LEA,MO,teachers_k12_fte,57,56,98.25,181900.0,181900.0,100.0,complete
2015-2016,LEA,KS,teachers_k12_fte,22,20,90.91,141944.0,107766.0,75.92,insufficient_coverage
2016-2017,LEA,ALL,teachers_k12_fte,79,79,100.0,325274.0,325274.0,100.0,complete
2016-2017,LEA,MO,teachers_k12_fte,57,57,100.0,183086.0,183086.0,100.0,complete
2016-2017,LEA,KS,teachers_k12_fte,22,22,100.0,142188.0,142188.0,100.0,complete
2017-2018,LEA,ALL,teachers_k12_fte,79,79,100.0,327585.0,327585.0,100.0,complete
2017-2018,LEA,MO,teachers_k12_fte,57,57,100.0,183816.0,183816.0,100.0,complete
2017-2018,LEA,KS,teachers_k12_fte,22,22,100.0,143769.0,143769.0,100.0,complete
2018-2019,LEA,ALL,teachers_k12_fte,79,79,100.0,328578.0,328578.0,100.0,complete
2018-2019,LEA,MO,teachers_k12_fte,57,57,100.0,184491.0,184491.0,100.0,complete
2018-2019,LEA,KS,teachers_k12_fte,22,22,100.0,144087.0,144087.0,100.0,complete
2019-2020,LEA,ALL,teachers_k12_fte,78,78,100.0,329357.0,329357.0,100.0,complete
2019-2020,LEA,MO,teachers_k12_fte,57,57,100.0,184382.0,184382.0,100.0,complete
2019-2020,LEA,KS,teachers_k12_fte,21,21,100.0,144975.0,144975.0,100.0,complete
2020-2021,LEA,ALL,teachers_k12_fte,77,77,100.0,321732.0,321732.0,100.0,complete
2020-2021,LEA,MO,teachers_k12_fte,56,56,100.0,180743.0,180743.0,100.0,complete
2020-2021,LEA,KS,teachers_k12_fte,21,21,100.0,140989.0,140989.0,100.0,complete
2021-2022,LEA,ALL,teachers_k12_fte,77,77,100.0,320165.0,320165.0,100.0,complete
2021-2022,LEA,MO,teachers_k12_fte,56,56,100.0,179330.0,179330.0,100.0,complete
2021-2022,LEA,KS,teachers_k12_fte,21,21,100.0,140835.0,140835.0,100.0,complete
2022-2023,LEA,ALL,teachers_k12_fte,77,77,100.0,321595.0,321595.0,100.0,complete
2022-2023,LEA,MO,teachers_k12_fte,56,56,100.0,180389.0,180389.0,100.0,complete
2022-2023,LEA,KS,teachers_k12_fte,21,21,100.0,141206.0,141206.0,100.0,complete
2023-2024,LEA,ALL,teachers_k12_fte,77,77,100.0,319559.0,319559.0,100.0,complete
2023-2024,LEA,MO,teachers_k12_fte,56,56,100.0,180015.0,180015.0,100.0,complete
2023-2024,LEA,KS,teachers_k12_fte,21,21,100.0,139544.0,139544.0,100.0,complete
2024-2025,LEA,ALL,teachers_k12_fte,77,77,100.0,318883.0,318883.0,100.0,complete
2024-2025,LEA,MO,teachers_k12_fte,56,56,100.0,179402.0,179402.0,100.0,complete
2024-2025,LEA,KS,teachers_k12_fte,21,21,100.0,139481.0,139481.0,100.0,complete
