state,district,nces_lea_id,school_year,nces_enrollment_k12,nces_teacher_fte_k12,nces_teacher_fte_total,state_enrollment_comparable,state_teacher_fte_comparable,state_measure_used,teacher_fte_diff,pct_difference,audit_classification,source_compatibility_status,explanatory_notes
KS,Shawnee Mission,2011640,2019-2020,26741,1796.10,1830.10,26966.7,1811.70,KSDE Classroom + Other Teachers FTE,-15.60,-0.86%,close_match,Highly Compatible,"NCES K-12 FTE matches state instructional sum within -15.60 FTE (-0.86%)."
KS,Shawnee Mission,2011640,2024-2025,25774,1792.01,1859.99,25957.9,1954.30,KSDE Classroom + Other Teachers FTE,-162.29,-8.30%,material_difference,Definitional Variance Documented,"State Other Teachers expanded to 294.7 FTE. Comparing NCES K-12 to KSDE Classroom (1659.60) yields +132.41 FTE (+7.98%). Investigated in anomalies ledger."
MO,Kansas City 33,2916400,2014-2015,14348,1033.05,1096.05,14120.0,1050.20,MO DESE Core Data Screen 18 Classroom Teachers,-17.15,-1.63%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 classroom teachers within -17.15 FTE (-1.63%)."
MO,Kansas City 33,2916400,2019-2020,14075,1053.10,1099.10,14010.0,1072.50,MO DESE Core Data Screen 18 Classroom Teachers,-19.40,-1.81%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -19.40 FTE (-1.81%)."
MO,Kansas City 33,2916400,2024-2025,13975,1081.27,1123.28,13890.0,1101.40,MO DESE Core Data Screen 18 Classroom Teachers,-20.13,-1.83%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -20.13 FTE (-1.83%)."
MO,North Kansas City 74,2922800,2014-2015,19262,1230.91,1264.41,19150.0,1248.60,MO DESE Core Data Screen 18 Classroom Teachers,-17.69,-1.42%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -17.69 FTE (-1.42%)."
MO,North Kansas City 74,2922800,2019-2020,20340,1385.09,1434.53,20220.0,1412.30,MO DESE Core Data Screen 18 Classroom Teachers,-27.21,-1.93%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -27.21 FTE (-1.93%)."
MO,North Kansas City 74,2922800,2024-2025,20824,1435.21,1507.21,20750.0,1478.50,MO DESE Core Data Screen 18 Classroom Teachers,-43.29,-2.93%,moderate_difference,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -43.29 FTE (-2.93%). Both show double-digit expansion."
MO,Lee's Summit R-VII,2918300,2014-2015,17589,1152.13,1177.33,17480.0,1162.80,MO DESE Core Data Screen 18 Classroom Teachers,-10.67,-0.92%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -10.67 FTE (-0.92%)."
MO,Lee's Summit R-VII,2918300,2019-2020,17905,1187.48,1218.24,17820.0,1198.10,MO DESE Core Data Screen 18 Classroom Teachers,-10.62,-0.89%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -10.62 FTE (-0.89%)."
MO,Lee's Summit R-VII,2918300,2024-2025,17364,1184.32,1224.85,17290.0,1202.40,MO DESE Core Data Screen 18 Classroom Teachers,-18.08,-1.50%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -18.08 FTE (-1.50%)."
MO,Independence 30,2915480,2014-2015,14306,865.33,882.33,14210.0,874.10,MO DESE Core Data Screen 18 Classroom Teachers,-8.77,-1.00%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -8.77 FTE (-1.00%)."
MO,Independence 30,2915480,2019-2020,14073,940.62,966.62,13990.0,952.40,MO DESE Core Data Screen 18 Classroom Teachers,-11.78,-1.24%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -11.78 FTE (-1.24%). Both show expansion."
MO,Independence 30,2915480,2024-2025,13563,938.45,970.45,13480.0,954.80,MO DESE Core Data Screen 18 Classroom Teachers,-16.35,-1.71%,close_match,Highly Compatible,"NCES K-12 Teacher FTE matches Core Data Screen 18 within -16.35 FTE (-1.71%)."
