Source_Article_ID,Target_Article_ID,Relationship_Type,Strength,Method,Reason,People_Connection,Org_Connection
ART-0009,ART-0011,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0009,ART-0012,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0009,ART-0013,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0009,ART-0015,content_similarity,0.602,embedding,Content similarity: 0.602,,
ART-0010,ART-0011,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0010,ART-0012,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0010,ART-0015,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0011,ART-0012,"shared_person, tag_overlap, temporal_proximity",0.486,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0011,ART-0015,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0012,ART-0014,"same_category, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0012,ART-0015,content_similarity,0.605,embedding,Content similarity: 0.605,,
ART-0014,ART-0015,"same_category, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0001,ART-0016,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0001,ART-0020,"same_category, temporal_proximity",0.271,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0001,ART-0024,"shared_person, tag_overlap, temporal_proximity",0.471,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",elon musk,
ART-0001,ART-0025,"same_category, temporal_proximity",0.257,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0001,ART-0026,"shared_person, tag_overlap, temporal_proximity",0.443,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",elon musk,
ART-0001,ART-0030,"shared_person, tag_overlap, temporal_proximity",0.414,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",elon musk,
ART-0001,ART-0036,"same_category, temporal_proximity",0.200,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0001,ART-0040,"shared_person, tag_overlap, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",elon musk,
ART-0001,ART-0046,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0001,ART-0047,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0050,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0051,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0054,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0055,"same_category, temporal_proximity",0.257,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0001,ART-0056,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0059,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0001,ART-0060,thematic_link,0.800,gpt_cluster,"Both articles discuss the conflict between the Trump administration and media outlets, focusing on the AP's refusal to conform to the administration's demands.",,
ART-0001,ART-0064,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0001,ART-0069,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0070,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0071,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0074,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0090,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0093,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0099,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0105,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0106,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0115,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0118,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0001,ART-0123,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0126,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0001,ART-0142,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0146,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0150,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0159,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",elon musk,
ART-0001,ART-0161,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0162,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0177,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0185,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0219,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0245,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0250,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0001,ART-0253,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",elon musk,
ART-0001,ART-0282,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0296,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0306,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0309,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0321,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0324,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0328,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0341,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0357,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0372,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0374,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0001,ART-0412,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0030,"shared_organization, temporal_proximity",0.314,deterministic,"Deterministic match: shared_organization, temporal_proximity",,fda
ART-0002,ART-0034,"same_category, temporal_proximity",0.200,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0002,ART-0037,"tag_overlap, temporal_proximity",0.100,deterministic,"Deterministic match: tag_overlap, temporal_proximity",,
ART-0002,ART-0040,"same_category, tag_overlap, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0002,ART-0042,"same_category, tag_overlap, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0002,ART-0046,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0050,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0057,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0062,"shared_organization, tag_overlap",0.400,deterministic,"Deterministic match: shared_organization, tag_overlap",,cdc
ART-0002,ART-0063,"shared_organization, same_category, tag_overlap",0.600,deterministic,"Deterministic match: shared_organization, same_category, tag_overlap",,hss
ART-0002,ART-0067,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0071,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0077,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0078,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0079,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0081,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0082,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0083,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0086,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0100,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0107,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0111,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0125,"same_category, tag_overlap",0.400,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0127,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0129,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0130,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0132,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0133,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0135,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0149,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0152,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0153,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0154,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0155,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0164,shared_organization,0.600,deterministic,Deterministic match: shared_organization,,"fda, cdc"
ART-0002,ART-0166,"shared_organization, tag_overlap",0.400,deterministic,"Deterministic match: shared_organization, tag_overlap",,hss
ART-0002,ART-0169,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0172,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0177,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0182,"shared_organization, tag_overlap",0.700,deterministic,"Deterministic match: shared_organization, tag_overlap",,"fda, cdc"
ART-0002,ART-0184,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0215,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0227,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0230,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0231,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0232,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0233,shared_organization,0.300,deterministic,Deterministic match: shared_organization,,hss
ART-0002,ART-0234,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0235,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0238,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0240,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0241,shared_organization,0.600,deterministic,Deterministic match: shared_organization,,"cdc, hss"
ART-0002,ART-0244,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0246,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0247,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0251,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0253,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0265,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0267,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0268,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0275,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0280,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0283,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0297,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0002,ART-0299,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0301,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0304,"shared_organization, tag_overlap",0.400,deterministic,"Deterministic match: shared_organization, tag_overlap",,cdc
ART-0002,ART-0306,"shared_organization, tag_overlap",0.400,deterministic,"Deterministic match: shared_organization, tag_overlap",,cdc
ART-0002,ART-0307,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0308,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0315,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0327,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0329,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0338,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0348,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0002,ART-0355,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0364,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0368,"shared_organization, tag_overlap",0.400,deterministic,"Deterministic match: shared_organization, tag_overlap",,hss
ART-0002,ART-0371,"shared_organization, tag_overlap",0.700,deterministic,"Deterministic match: shared_organization, tag_overlap",,"cdc, hss"
ART-0002,ART-0388,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0394,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0395,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0406,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0415,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0417,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0002,ART-0425,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0016,"shared_person, temporal_proximity",0.371,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0003,ART-0024,"shared_person, temporal_proximity",0.357,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0003,ART-0026,"shared_person, temporal_proximity",0.329,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0003,ART-0030,"shared_person, temporal_proximity",0.300,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0003,ART-0034,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0040,content_similarity,0.685,embedding,Content similarity: 0.685,,
ART-0003,ART-0042,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0046,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0047,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0050,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0054,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0056,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0059,content_similarity,0.621,embedding,Content similarity: 0.621,,
ART-0003,ART-0063,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0064,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0067,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0070,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0071,thematic_link,0.700,gpt_cluster,"Both articles discuss judicial actions and responses from high-profile individuals (Elon Musk and Trump) regarding legal rulings, highlighting tensions between the judiciary and executive.",,
ART-0003,ART-0079,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0081,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0082,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0083,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0086,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0093,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0099,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0100,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0105,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0107,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0111,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0003,ART-0118,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0125,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0003,ART-0126,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0127,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0003,ART-0132,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0133,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0135,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0142,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0150,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0154,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0155,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0159,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0169,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0003,ART-0177,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",elon musk,
ART-0003,ART-0185,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0215,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0003,ART-0219,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0227,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0003,ART-0230,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0003,ART-0231,"same_category, tag_overlap",0.300,deterministic,"Deterministic match: same_category, tag_overlap",,
ART-0003,ART-0232,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0234,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0003,ART-0235,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0003,ART-0240,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0244,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0003,ART-0246,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0247,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0250,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0251,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0253,shared_person,0.300,deterministic,Deterministic match: shared_person,elon musk,
ART-0003,ART-0265,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0267,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0268,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0275,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0003,ART-0283,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0287,shared_organization,0.300,deterministic,Deterministic match: shared_organization,,treasury department
ART-0003,ART-0297,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0299,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0301,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0307,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0308,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0315,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0327,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0329,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0355,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0364,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0003,ART-0368,shared_organization,0.300,deterministic,Deterministic match: shared_organization,,treasury department
ART-0003,ART-0388,same_category,0.200,deterministic,Deterministic match: same_category,,
